"EventCode","Ego","Hear","Attend","IsSeed","ToTotal","Gender","Age","In80s","MinsTrav","Educ","WallMat","JobType","Time1","Time2","Time3","Time4","Time5","Phone1","Phone2","Phone3","Phone4","Phone5","Pol1","Pol2","Pol3","Pol4","Pol5","Relig1","Relig2","Relig3","Relig4","Relig5","Meal1","Meal2","Meal3","Meal4","Meal5","Visit1","Visit2","Visit3","Visit4","Visit5","Secret1","Secret2","Secret3","Secret4","Secret5","GossipNameCl","Occup","Married","ClanWeek","Relig","Worship","ReligWeek","SoapLasts","WhyNot","PhoneSum","CoarseLangFam","CoarseVisitOth","CoarseClan","CoarseSpouseClan","Tribe","TimeClanProp","PhoneClanProp","PolClanProp","ReligClanProp","MealClanProp","VisitClanProp","SecretClanProp","Region","CoarseVlg","OwnPhone","TotNames","TotUNames","Passed"
1,128255,"Y","Y",0,"4","F",32,"N",3,3,3,3,722737,836419,237406,871449,NA,55994,504089,978411,NA,NA,NA,NA,NA,NA,NA,120312,236873,755281,NA,55994,872692,755281,277205,92239,NA,55994,139998,NA,NA,NA,504089,55994,458313,844589,NA,262727,"FARMER","Y",2,4,4,3,"3",NA,3,"ATESO",2,"IKOMEI",NA,"ATESO",0.25,0.333333333,0,0,0,0,0.5,NA,"ABALANG","N",21,16,0
4,188555,"Y","Y",0,"3","F",80,"Y",120,1,3,3,626557,421847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492415,NA,NA,NA,795437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515870,"FARMER","Y",1,4,4,3,"3",NA,0,"ATESO",2,"IKATEKOK","IRARAK","ATESO",0,NA,NA,0,0,0,0,NA,"UNKNOWN","N",4,4,1
4,572828,"Y","Y",0,"0","F",84,"Y",120,1,3,1,720187,402029,384312,NA,NA,NA,NA,NA,NA,NA,720187,402029,384312,NA,NA,20455,337137,NA,NA,NA,NA,NA,NA,NA,NA,564550,NA,NA,NA,NA,NA,NA,NA,NA,NA,20455,"PEASANT","Y",5,1,4,3,"7",NA,0,"ATESO",1,"IKATEKOK",NA,"ATESO",0,NA,0,1,NA,0,NA,1,"ABALANG","N",9,6,0
1,882701,"Y","Y",0,"1","M",59,"Y",20,5,3,3,221398,144065,132004,12787,709358,NA,NA,NA,NA,NA,538531,45253,NA,NA,NA,584044,689374,648549,202380,NA,36169,421160,NA,NA,NA,859166,733748,NA,NA,NA,763839,626527,955590,532276,NA,760218,"FARMER","Y",4,1,4,4,"7",NA,0,"ATESO",3,"ATEGODA",NA,"ATESO",0,NA,1,0,1,1,0.25,NA,"OGOLOID","N",19,19,1
1,223067,"Y","Y",0,"3","F",58,"Y",15,4,3,3,250725,NA,NA,NA,NA,NA,NA,NA,NA,NA,250725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250725,NA,NA,NA,NA,NA,"FARMER","Y",1,1,4,3,"7",NA,0,"ATESO",2,"BANTORO","IKARIBWOK","NONE",0,NA,0,0,NA,NA,0,NA,"CENTRAL","N",3,1,1
1,987801,"Y","Y",0,"3","F",20,"N",60,5,3,3,771535,955118,144742,389991,86048,578519,459936,389238,176486,425352,771535,47183,452544,389991,NA,176486,398265,526771,453119,NA,360472,428226,223790,978045,869016,518363,783463,655842,264155,646460,NA,NA,NA,NA,NA,452544,"FARMER","Y",3,1,2,3,"3",NA,5,"ATESO",3,"ITETELA","IKATEKOK","ATESO",0.2,1,0.25,0.75,1,1,NA,NA,"AKUM","Y",28,25,1
1,385871,"Y","Y",0,"5","M",29,"Y",60,6,3,3,157487,771908,853287,304354,985499,918726,296324,658994,50498,71885,NA,250725,903257,654839,853287,689374,764841,NA,119262,192106,461185,689374,853287,NA,192106,192106,764841,603347,853287,642940,428888,853287,771908,304354,550124,997398,"FARMER","Y",2,1,4,4,"7",NA,5,"ATESO",4,"IRARAK","IKARIBWOK","ATESO",0.4,1,0,0,0,0,0.4,NA,"ABALANG","Y",32,22,1
1,452651,"Y","Y",0,"3","F",53,"Y",60,1,3,1,676335,153528,294442,NA,NA,NA,NA,NA,NA,NA,515870,NA,NA,NA,NA,577712,498159,86048,662753,NA,651619,NA,NA,NA,NA,836419,960608,267122,211669,535494,432106,NA,NA,NA,NA,732861,"FARMER","Y",3,1,4,3,"3",NA,0,"ATESO",2,"IKORINYANGA",NA,"ATESO",0,NA,0,0,0,0.2,0,NA,"ABALANG","N",15,15,1
5,871449,"Y","Y",0,"5","F",70,"Y",NA,1,3,1,NA,NA,384312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260584,979256,NA,NA,979256,NA,55994,NA,NA,NA,263455,NA,NA,NA,NA,NA,NA,NA,NA,151421,"FARMER","Y",1,4,4,3,"14",NA,0,"ATESO",1,"IKARIBWOK",NA,"ATESO",0,NA,NA,0,0.333333333,0,NA,2,"ABALANG","N",6,5,0
1,217104,"Y","Y",0,"5","F",19,"N",120,3,3,1,370037,42874,NA,723989,681843,NA,991673,96843,405734,NA,515870,452544,211170,185866,396439,469871,377960,662907,NA,NA,867936,185866,96843,521412,405734,521412,NA,NA,58072,NA,42874,144742,NA,NA,NA,96843,"FARMER","Y",3,1,5,2,"7",NA,5,"ATESO",2,"IGORIA",NA,"ATESO",0.6,0.8,0.4,0.666666667,0.6,0.8,1,NA,"UNKNOWN","Y",24,19,1
5,261919,"Y","Y",0,"4","F",35,"N",20,3,3,3,477481,17445,574271,48333,844589,285033,904581,573725,NA,NA,55994,664422,NA,NA,NA,581276,240310,112635,543313,26145,NA,NA,NA,NA,NA,NA,NA,260584,603259,NA,347701,755631,219400,285033,NA,NA,"FARMER","N",2,4,4,3,"10",NA,3,"ATESO",2,"POKOR",NA,"ATESO",0.2,0.666666667,1,0.2,0,0,0.75,4,"ANGERA",NA,21,20,1
5,710194,"Y","Y",0,"1","F",30,"Y",8,3,3,3,814816,55994,NA,NA,NA,NA,NA,NA,NA,NA,NA,206221,NA,NA,NA,55994,NA,NA,NA,NA,NA,NA,NA,NA,NA,267719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FARMER","Y",3,1,4,3,"2",NA,0,"ATESO",3,"IKARIBWOK",NA,"ATESO",1,NA,1,1,1,1,NA,NA,"ABALANG","N",5,4,1
1,780224,"Y","Y",0,"1","F",61,"Y",120,3,3,3,439432,541880,492389,NA,NA,12961,NA,NA,NA,NA,845413,NA,NA,NA,NA,585991,NA,NA,NA,NA,NA,NA,NA,NA,NA,492389,710194,NA,NA,NA,492389,439432,NA,NA,NA,748836,"FARMER","Y",4,2,4,3,"5",NA,1,"ATESO",3,"IKATEKOK",NA,"ATESO",0,0,0,0,0,0,0,NA,"AMORU","N",10,7,1
1,266465,"Y","Y",0,"3","F",29,"N",40,7,6,3,351590,662000,278147,NA,NA,428982,52976,301513,628596,498646,351590,NA,NA,NA,NA,662000,590119,NA,NA,NA,458195,65620,102759,NA,NA,249896,493682,NA,NA,NA,590119,NA,NA,NA,NA,351590,"TEACHER","Y",2,1,4,2,"4",NA,5,"ATESO",3,"IWOROPOM",NA,"ATESO",0.333333333,0.6,0,0.5,0,0.5,0,NA,"UNKNOWN","N",17,14,0
1,328945,"Y","Y",0,"20","F",20,"N",90,3,3,1,720187,20455,193815,NA,NA,578147,13818,414526,NA,NA,170640,996127,NA,NA,NA,720187,443509,NA,NA,NA,216235,378642,NA,NA,NA,13818,535827,NA,NA,NA,267719,152384,NA,NA,NA,515870,"PEASANT","Y",2,1,4,4,"7",NA,3,"ATESO",3,"IKATEKOK","IMATAKOJO","ATESO",0.5,1,1,0.5,0.5,0.5,1,NA,"UNKNOWN","N",16,14,1
1,159843,"Y","Y",0,"4","F",22,"N",120,4,3,1,211170,NA,NA,NA,NA,157195,726597,91256,NA,NA,NA,NA,NA,NA,NA,157195,NA,752955,NA,NA,328945,869569,847278,NA,NA,363185,280474,NA,328945,NA,363185,280474,NA,328945,869569,NA,"FARMER","Y",2,1,4,3,"7",NA,3,"ATESO",2,"IKARIBWOK",NA,"ATESO",0.666666667,1,NA,1,1,1,1,NA,"ABALANG","N",16,10,0
1,758848,"Y","Y",0,"4","F",30,"Y",15,3,3,4,349400,848560,380709,882247,NA,88373,936889,605289,NA,NA,515870,25618,482317,NA,NA,657914,176486,702861,574248,814457,143755,358056,723135,NA,NA,553942,494780,NA,NA,NA,702861,574248,NA,NA,NA,334082,"SCHOOLCOOK","Y",3,4,4,3,"14",NA,3,"ATESO",4,"IKATEKOK",NA,"ATESO",0.25,0.666666667,0.333333333,0.4,0,0,0.5,NA,"UNKNOWN","N",22,20,1
1,696713,"Y","Y",0,"7","F",32,"Y",40,3,3,3,158251,452544,608074,423645,NA,173198,626313,448326,983911,602674,705304,876499,NA,NA,NA,436561,705304,NA,NA,NA,241622,419766,423645,NA,NA,158251,635545,132004,452544,NA,173198,913996,880036,NA,205667,923632,"FARMER","N",4,1,4,4,"2",NA,5,"ATESO",2,"IKATEKOK",NA,"ATESO",0.5,0.2,0.666666667,1,1,0.5,0.6,NA,"CENTRAL","Y",24,19,1
1,973579,"Y","Y",0,"0","F",44,"Y",30,3,3,1,515870,387579,695913,557784,NA,21421,706794,NA,NA,NA,NA,NA,NA,NA,NA,662907,695913,877302,NA,NA,320074,377960,NA,NA,NA,305401,NA,320074,NA,NA,557784,695913,377960,NA,662907,387579,"PEASANT","Y",2,1,4,3,"30",NA,2,"ATESO",3,"IDUNGURA",NA,"ATESO",1,0,NA,1,0.5,1,0.8,NA,"CENTRAL","N",17,11,0
1,351623,"Y","Y",0,"2","F",18,"Y",20,3,3,3,758371,619242,377960,290258,162952,778658,991673,356738,NA,NA,429211,90402,493682,681843,891753,681843,662907,716906,110446,396439,513085,663503,257912,396439,66882,70484,NA,NA,NA,NA,219678,920203,NA,NA,NA,176996,"PEASANT","N",5,1,4,3,"7",NA,3,"ATESO",2,"IKARIBWOK",NA,"ATESO",1,1,1,1,1,0,1,NA,"CENTRAL","N",26,24,1
1,452544,"Y","Y",0,"0","M",72,"Y",30,3,3,3,517906,931195,452544,633317,910338,NA,NA,NA,NA,NA,935967,452544,199023,NA,NA,NA,NA,NA,NA,NA,380125,788705,NA,973168,NA,517906,NA,NA,NA,NA,216488,NA,NA,NA,NA,390067,"FARMER","N",2,2,3,3,"1",NA,0,"ATESO",2,"IRARAK",NA,"ATESO",1,NA,0,NA,0.25,0,0,NA,"CENTRAL","N",13,11,0
1,442290,"Y","Y",0,"3","F",80,"Y",20,3,3,3,387579,205175,620713,966167,NA,NA,NA,NA,NA,NA,92612,91608,NA,NA,NA,387579,205175,620713,966167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387579,205175,620713,966167,NA,135393,"FARMER","Y",2,1,4,3,"7",NA,0,"ATESO",2,"IKARIBWOK",NA,"ATESO",0,NA,0,0,NA,NA,0,NA,"ABALANG","N",14,6,1
1,615584,"Y","Y",0,"3","M",35,"Y",120,3,1,4,NA,515870,946801,400700,146856,NA,NA,NA,NA,NA,515870,NA,NA,NA,NA,387579,NA,515870,NA,NA,568686,129999,475076,NA,NA,439783,568686,586360,202380,NA,NA,966167,NA,NA,NA,910645,"FARMER","Y",5,1,2,3,"10",NA,0,"ATESO",2,"IKARIBWOK",NA,"ATESO",1,NA,1,1,1,1,1,NA,"CENTRAL","N",15,12,1
1,755631,"Y","Y",0,"2","F",63,"Y",60,4,3,3,455657,336650,945474,208376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578158,336533,NA,NA,NA,NA,NA,NA,NA,NA,183806,NA,NA,NA,NA,855449,NA,NA,NA,NA,598318,"FARMER","Y",2,4,3,2,"2",NA,0,"ATESO",2,"IKOMOLO",NA,"ATESO",1,NA,NA,1,NA,1,1,4,"ABALANG","N",8,8,1
1,118766,"Y","Y",0,"4","M",40,"N",10,6,3,1,819504,517906,459376,NA,NA,936889,511805,504089,212830,NA,139619,683994,936889,900766,300727,436561,504089,NA,NA,NA,517906,380235,NA,NA,NA,143106,122350,572602,NA,NA,982269,60300,NA,NA,NA,515870,"FARMER","N",3,1,4,2,"4",NA,4,"ATESO",3,"IKARIBWOK",NA,"ATESO",0,0.75,0.6,0.5,0,1,1,NA,"CENTRAL","N",21,18,1
4,216235,"Y","Y",0,"8","F",30,"N",180,3,3,3,954963,NA,NA,NA,NA,238618,NA,NA,NA,NA,349445,NA,NA,NA,NA,384312,152384,286315,NA,NA,873660,NA,NA,NA,NA,NA,NA,NA,NA,NA,152384,NA,NA,NA,NA,NA,"FARMER","Y",1,2,4,3,"5",NA,1,"ATESO",2,"IKARIBWOK","IKATEKOK","ATESO",0,1,0,0,0,0,0,1,"ABALANG","N",8,7,1
1,599672,"Y","Y",0,"0","F",30,"Y",60,3,6,3,622885,580573,795550,934380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300397,431812,371165,881401,NA,523560,NA,NA,NA,NA,213223,987080,311924,827774,885433,NA,NA,NA,NA,NA,178018,"FARMER","Y",2,1,4,4,"3",NA,0,"ATESO",2,"IKARIBWOK",NA,"ATESO",0,NA,NA,1,0,0,NA,NA,"UNKNOWN","N",14,14,0
1,436561,"Y","Y",0,"5","F",21,"N",30,5,3,1,436561,930057,996463,936889,535846,531208,996463,930057,936889,875422,850171,875422,936889,NA,NA,176486,NA,436561,208352,828496,910645,118766,461112,NA,NA,NA,850171,461112,NA,NA,875422,715727,NA,NA,NA,319781,"PEASANT","N",5,2,4,4,"7",NA,5,"ATESO",3,"IKATEKOK",NA,"ATESO",1,0.8,0.666666667,0.2,0,0,0.5,NA,"CENTRAL","Y",24,15,1
1,443420,"Y","Y",0,"4","F",50,"Y",90,1,3,3,819504,912219,269178,NA,NA,NA,NA,NA,NA,NA,300727,636368,NA,NA,NA,260584,269178,NA,NA,NA,139998,488316,568398,115282,923632,624498,NA,NA,NA,NA,154548,182198,NA,NA,NA,997398,"FARMER","Y",4,1,4,3,"3",NA,0,"ATESO",2,"IKATEKOK","IRARAK","ATESO",0,NA,0,0.5,0,0,0.5,NA,"CENTRAL","N",15,14,1
1,817037,"Y","Y",0,"0","F",52,"N",60,3,3,4,42240,153528,966405,600405,832631,NA,NA,NA,NA,NA,153528,517906,NA,NA,NA,600405,995312,NA,NA,NA,42240,153528,832631,900842,NA,NA,NA,NA,NA,NA,42240,153528,600405,212667,NA,515870,"FARMER","Y",3,4,8,3,"7",NA,0,"ATESO",2,"ITENAI","IKATEKOK","ATESO",0.4,NA,0.5,0,0.5,NA,0.5,NA,"ABALANG","N",17,9,0
1,509301,"Y","Y",0,"0","F",60,"Y",120,1,3,1,NA,491386,NA,NA,NA,439432,493682,NA,NA,NA,515870,372560,NA,NA,NA,NA,NA,NA,NA,NA,NA,859166,NA,NA,NA,298730,NA,NA,NA,NA,879639,743053,931111,NA,NA,NA,"PEASANT","Y",2,5,4,2,"7",NA,2,"ATESO",2,"ITEGORA","IKATEKOK","ATESO",0.666666667,1,0,0,0.5,0,0.333333333,NA,"UNKNOWN","N",10,10,0
1,443509,"Y","Y",0,"6","F",30,"Y",120,3,3,1,944880,34484,186841,443509,184803,NA,NA,NA,NA,NA,515870,757328,211170,863524,651619,59002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443509,944880,757328,840887,944880,443509,184803,NA,NA,515870,"PEASANT","Y",3,1,3,3,"4",NA,0,"ATESO",2,"IRARAK",NA,"ATESO",0.2,NA,0,0,0,0,0,NA,"ABALANG","N",18,12,0
1,32363,"Y","Y",0,"10","F",24,"Y",60,3,3,3,176486,391522,993266,396070,88613,94446,419299,443509,238618,198183,515870,NA,176486,993266,443509,176486,993266,318827,453675,779990,144742,483424,414926,329433,132004,483424,144742,70484,419299,229893,176486,993266,910975,NA,448326,923632,"TAILOR","N",4,1,4,3,"7",NA,5,"ATESO",2,"IKAMEI",NA,"ATESO",0.6,0.8,0.6,0.2,0.4,0.4,0,NA,"CENTRAL","Y",33,23,1
1,967982,"Y","Y",0,"0","F",46,"Y",60,3,3,1,554867,228331,566902,290958,NA,556885,719350,NA,NA,NA,NA,NA,NA,NA,NA,314898,479424,885433,453675,NA,604268,414440,526753,474847,221764,NA,NA,NA,NA,NA,513085,980145,159843,NA,NA,NA,"PEASANT","Y",3,2,3,5,"5",NA,2,"ATESO",2,"IKOSOBWA",NA,"ATESO",0,1,NA,0,0,NA,0,NA,"CENTRAL","N",18,18,0
1,912219,"Y","Y",0,"0","F",18,"N",4,3,3,3,981673,387579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973579,656533,NA,NA,NA,NA,NA,NA,NA,NA,656533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FARMER","Y",3,1,4,5,"30",NA,0,"ATESO",2,"IKARIBWOK","IDUNGURA","ATESO",0,NA,NA,0,NA,0,NA,NA,"ABALANG","N",5,4,0
1,351593,"Y","Y",0,"1","M",50,"N",20,3,3,4,NA,37750,NA,147187,665232,37750,NA,NA,NA,NA,NA,NA,162812,NA,NA,NA,NA,NA,NA,NA,869582,618617,NA,NA,NA,211170,NA,NA,NA,NA,889357,NA,NA,NA,NA,NA,"FARMER","Y",2,2,4,3,"5",NA,1,"ATESO",2,"IKOMOLO","IRARAK","ATESO",0,0,0,0,0,0,0,2,"ABALANG","Y",9,8,1
