"ID","Ego","Hear","Attend","Seed","Tribe"
"572828","572828","Y","Y","0","ATESO"
"871449","871449","Y","Y","0","ATESO"
"710194","710194","Y","Y","0","ATESO"
"216235","216235","Y","Y","0","ATESO"
"752955","752955","Y","Y","0","ATESO"
"439432","439432","Y","Y","0","ATESO"
"70484","70484","Y","Y","0","ATESO"
"541544","541544","Y","Y","0","ATESO"
"42240","42240","Y","Y","0","ATESO"
"439432","439432","Y","Y","0","ATESO"
"624953","624953","Y","Y","0","ATESO"
"540972","540972","Y","Y","1","ATESO"
"572501","572501","Y","Y","0","ATESO"
"848099","848099","Y","Y","0","ATESO"
"289784","289784","Y","Y","0","ATESO"
"42818","42818","Y","Y","0","ATESO"
"426122","426122","Y","Y","1","ATESO"
"384312","384312","Y","Y","0","ATESO"
"371990","371990","Y","Y","0","ATESO"
"326017","326017","Y","Y","0","ATESO"
"249868","249868","Y","Y","1","ATESO"
"820309","820309","Y","Y","0","ATESO"
"853287","853287","Y","Y","0","ATESO"
"832516","832516","Y","Y","0","ATESO"
"872692","872692","Y","Y","0","ATESO"
"722859","722859","Y","Y","0","ATESO"
"101561","101561","Y","N","0","ATESO"
"640007","640007","N","N","0","ATESO"
"768178","768178","Y","N","0","ATESO"
"679204","679204","Y","N","0","ATESO"
"260584","260584","Y","N","0","ATESO"
"153528","153528","N","N","0","ATESO"
"678955","678955","N","N","0","ATESO"
"200826","200826","Y","N","0","ATESO"
"309114","309114","Y","N","0","ATESO"
"556031","556031","N","N","0","ATESO"
"149274","149274","Y","N","0","ATESO"
"582779","582779","Y","N","0","ATESO"
"395069","395069","N","N","0","ATESO"
"241716","241716","Y","N","0","ATESO"
"325218","325218","Y","N","0","ATESO"
"167455","167455","Y","N","0","ATESO"
"409700","409700","Y","N","0","ATESO"
"232151","232151","N","N","0","ATESO"
"326017","326017","Y","N","0","ATESO"
"250385","250385","Y","N","0","ATESO"
"745690","745690","Y","N","0","ATESO"
"43742","43742","N","N","0","KUMAM"
"232688","232688","Y","N","0","ATESO"
"52554","52554","N","N","0","ATESO"
"922490","922490","N","N","0","ATESO"
"836419","836419","Y","N","0","ATESO"
"836419","836419","Y","N","0","ATESO"
"944880","944880","N","N","0","ATESO"
"594437","594437","Y","N","0","ATESO"
"779990","779990","Y","N","0","ATESO"
"764841","764841","Y",NA,"0","LANGI"
"435061","435061","Y","N","0","ATESO"
"203200","203200","Y","N","0","ATESO"
"684922","684922","Y","N","0","ATESO"
"895303","895303","N","N","0","ATESO"
"531208","531208","N","N","0","ATESO"
"386533","386533","Y","N","0","ATESO"
"963266","963266","N","N","0","ATESO"
"28400","28400","Y","N","0","ATESO"
"580877","580877","N","N","0","ATESO"
"308447","308447","Y","N","0","ATESO"
"116468","116468","Y","N","0","ATESO"
"602209","602209","Y","N","0","ATESO"
"748784","748784","Y","N","0","ATESO"
"436608","436608","N","N","0","ATESO"
"535827","535827","Y","N","0","ATESO"
"771908","771908","Y","N","0","ATESO"
"709050","709050","N","N","0","ATESO"
"40904","40904","N","N","0","ATESO"
"795550","795550","N","N","0","ATESO"
"42569","42569","Y","N","0","ATESO"
"419766","419766","N","N","0","ATESO"
"37688","37688","Y","N","0","ATESO"
"35619","35619","N","N","0","ATESO"
"454150","454150","N","N","0","ATESO"
"351590","351590","N","N","0","ATESO"
"942164","942164","N","N","0","ATESO"
"488269","488269","N","N","0","ATESO"
"717216","717216","N",NA,"0","ATESO"
"740163","740163","Y","N","0","ATESO"
"162952","162952","Y","N","0","ATESO"
"126811","126811","N","N","0","ATESO"
"946801","946801","N","N","0","ATESO"
"362750","362750","Y","N","0","ATESO"
"842601","842601","N","N","0","ATESO"
"554651","554651","Y","N","0","ATESO"
"299996","299996","N","N","0","ATESO"
"391933","391933","Y","N","0","ATESO"
"713941","713941","Y","N","0","ATESO"
"813684","813684","Y","N","0","ATESO"
"641629","641629","N","N","0","ATESO"
"420520","420520","N","N","0","ATESO"
"988025","988025","Y","N","0","ATESO"
"390067","390067","Y","N","0","ATESO"
"12503","12503","Y","N","0","ATESO"
"672687","672687","Y","N","0","ATESO"
"304090","304090","N","N","0","ATESO"
"265435","265435","N","N","0","ATESO"
"399971","399971","N","N","0","ATESO"
"144961","144961","Y","N","0","ATESO"
"522016","522016","Y","N","0","ATESO"
"362250","362250","Y","N","0","ATESO"
"694113","694113","N","N","0","ATESO"
"205667","205667","Y","N","0","ATESO"
"205667","205667","Y","N","0","ATESO"
"572602","572602","Y","N","0","ATESO"
"373682","373682","Y","N","0","ATESO"
"423645","423645","Y","N","0","ATESO"
"255700","255700","Y","N","0","ATESO"
"70094","70094","Y","N","0","ATESO"
"480898","480898","Y","N","0","ATESO"
"96632","96632","N","N","0","ATESO"
"303320","303320","Y","N","0","ATESO"
"940769","940769","Y","N","0","ATESO"
"508791","508791","N","N","0","ATESO"
"962816","962816","Y","N","0","ATESO"
"945474","945474","Y","N","0","ATESO"
"949803","949803","Y","N","0","ATESO"
NA,NA,"Y","N","0","ATESO"
"567950","567950","N","N","0","OTHER"
"349445","349445","Y","N","0","ATESO"
"515870","515870","Y","N","0","ATESO"
"765152","765152","Y","N","0","ATESO"
"348251","348251","N","N","0","ATESO"
"152306","152306","N","N","0","ATESO"
"871536","871536","Y","N","0","ATESO"
"575303","575303","N","N","0","ATESO"
"598170","598170","N","N","0","ATESO"
"103760","103760","N","N","0","ATESO"
"881969","881969","N","N","0","ATESO"
"738846","738846","N","N","0","ATESO"
"75046","75046","N","N","0","ATESO"
"189596","189596","N","N","0","ATESO"
"716278","716278","Y","N","0","ATESO"
"617278","617278","Y","N","0","ATESO"
"239311","239311","N","N","0","ATESO"
"544104","544104","Y","N","0","ATESO"
"969369","969369","N","N","0","ATESO"
"572043","572043","Y","N","0","ATESO"
"286315","286315","Y","N","0","ATESO"
