"ID","Ego","Hear","Attend","Seed","Tribe"
"661346","661346","Y","Y","0","KUMAM"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"436308","436308","N","N","0","KUMAM"
"848163","848163","N","N","0","ATESO"
"377960","377960","N","N","0","ATESO"
"628294","628294","N","N","0","ATESO"
"677187","677187","N","N","0","ATESO"
"953946","953946","N","N","0","ATESO"
"547231","547231","N","N","0","ATESO"
"170293","170293","N","N","1","ATESO"
"745851","745851","N","N","0","ATESO"
"168535","168535","Y","N","0","KUMAM"
"222865","222865","N","N","0","ATESO"
"992887","992887","N","N","0","KUMAM"
"385058","385058","Y","N","0","KUMAM"
"512295","512295","N","N","0","ATESO"
"166002","166002","N","N","0","ATESO"
"600071","600071","N","N","0","ATESO"
"602472","602472","N","N","0","ATESO"
"229478","229478","N","N","0","ATESO"
"574421","574421","N","N","0","ATESO"
"508158","508158","N","N","0","KUMAM"
"80580","80580","N","N","0","KUMAM"
"249896","249896","N","N","0","ATESO"
"382029","382029","N","N","0","ATESO"
"795987","795987","N","N","0","ENGLISH"
"132004","132004","N","N","0","LUO"
"731890","731890","N","N","0","ATESO"
"922490","922490","N","N","0","ATESO"
"391522","391522","N","N","0","KUMAM"
"810357","810357","N","N","0","ATESO"
"677071","677071","N","N","0","ATESO"
"353365","353365","N","N","0","ATESO"
"354918","354918","N","N","0","ATESO"
"277050","277050","N","N","0","ATESO"
"687750","687750","N","N","0","KUMAM"
"773470","773470","N","N","0",NA
"481615","481615","N","N","0","ATESO"
"469871","469871","N","N","0",NA
"967300","967300","N","N","0","ATESO"
"574248","574248","N","N","0","ATESO"
"645192","645192","N","N","0","ATESO"
"272097","272097","N","N","0","ATESO"
"144641","144641","N","N","0","KUMAM"
"221970","221970","N","N","0","ATESO"
"131517","131517","N","N","0","KUMAM"
"176996","176996","N","N","0","ATESO"
"449452","449452","N","N","0","KUMAM"
"846910","846910","N","N","0","ATESO"
"935557","935557","N","N","0","ATESO"
"405789","405789","N","N","0","KUMAM"
"664628","664628","N","N","0","KUMAM"
"146129","146129","N","N","0","KUMAM"
"363294","363294","N","N","0","ATESO"
"89023","89023","N","N","0","ATESO"
"561445","561445","N","N","0","ATESO"
"507088","507088","N","N","0","KUMAM"
"333119","333119","N","N","0","ATESO"
"897644","897644","N","N","0","ATESO"
"914876","914876","N","N","0","KUMAM"
"687704","687704","N","N","0","ATESO"
"972909","972909","N","N","0","ATESO"
"990830","990830","N","N","0","ATESO"
"169005","169005","N","N","0","ATESO"
"89660","89660","N","N","0","ATESO"
"37857","37857","N","N","0","ATESO"
"356738","356738","N","N","0","ATESO"
"882540","882540","N","N","0","KUMAM"
"100290","100290","N","N","0","ATESO"
"915763","915763","N","N","0","ATESO"
