"Source","Target","Type"
"70484","371990","directed"
"439432","848099","directed"
"572501","765152","directed"
"426122","517906","directed"
"384312","572828","directed"
"832516","371990","directed"
"722859","289784","directed"
"101561","498159","directed"
"640007","325218","directed"
"768178","709050","directed"
"678955","560166","directed"
"556031","205667","directed"
"149274","617278","directed"
"232151","938675","directed"
"326017","765152","directed"
"43742","848099","directed"
"922490","946801","directed"
"836419","167455","directed"
"594437","515870","directed"
"203200","949803","directed"
"684922","152384","directed"
"531208","575303","directed"
"963266","748784","directed"
"535827","639309","directed"
"709050","35619","directed"
"454150","881854","directed"
"488269","944880","directed"
"717216","853287","directed"
"162952","326017","directed"
"362750","362250","directed"
"842601","205667","directed"
"554651","515870","directed"
"391933","362750","directed"
"813684","37750","directed"
"641629","189596","directed"
"420520","174221","directed"
"672687","162952","directed"
"304090","255700","directed"
"362250","362750","directed"
"694113","43664","directed"
"205667","969369","directed"
"205667","46651","directed"
"949803","765152","directed"
"765152","949803","directed"
"716278","11243","directed"
"239311","12503","directed"
"544104","911187","directed"
"96261","435061","directed"
"874850","842928","directed"
"327686","37750","directed"
"172617","842601","directed"
"639309","304354","directed"
"881854","853287","directed"
"55994","11243","directed"
"257912","289784","directed"
"168999","42818","directed"
"389100","949803","directed"
"456962","853287","directed"
"613715","771535","directed"
"457610","938675","directed"
"833933","28400","directed"
"574996","387579","directed"
"686816","11243","directed"
"652188","136687","directed"
"258497","713941","directed"
"414977","624953","directed"
"976245","90948","directed"
"851217","299996","directed"
"46651","249868","directed"
"219795","832516","directed"
"257783","838513","directed"
"869954","468659","directed"
"304354","895303","directed"
"560166","420520","directed"
"887316","11243","directed"
"87855","722859","directed"
"257016","11243","directed"
"385871","303320","directed"
"710194","55994","directed"
"848099","37750","directed"
"371990","872692","directed"
"260584","395069","directed"
"149274","613715","directed"
"232151","149274","directed"
"745690","101561","directed"
"43742","439432","directed"
"435061","90948","directed"
"203200","838513","directed"
"684922","216235","directed"
"386533","722859","directed"
"963266","326017","directed"
"580877","126811","directed"
"308447","572043","directed"
"602209","535827","directed"
"42569","779990","directed"
"419766","765152","directed"
"37688","200826","directed"
"35619","709050","directed"
"454150","853287","directed"
"942164","90948","directed"
"740163","641629","directed"
"946801","572043","directed"
"362750","391933","directed"
"842601","567950","directed"
"554651","153528","directed"
"299996","742228","directed"
"420520","249868","directed"
"988025","439432","directed"
"304090","96632","directed"
"522016","938675","directed"
"362250","391933","directed"
"205667","710194","directed"
"962816","651618","directed"
"949803","877357","directed"
"75046","575303","directed"
"544104","488269","directed"
"286315","216235","directed"
"874850","90948","directed"
"172617","205667","directed"
"933161","309114","directed"
"257912","572501","directed"
"574996","949803","directed"
"871892","742228","directed"
"994130","639309","directed"
"686816","887316","directed"
"258497","881854","directed"
"832631","42240","directed"
"238618","249868","directed"
"930594","832516","directed"
"696922","805051","directed"
"742228","911187","directed"
"976245","869954","directed"
"90948","136687","directed"
"46651","126811","directed"
"869954","90948","directed"
"560166","249868","directed"
"152384","384312","directed"
"136687","90948","directed"
"572828","384312","directed"
"871449","384312","directed"
"70484","42240","directed"
"540972","572043","directed"
"848099","498159","directed"
"832516","219795","directed"
"872692","219795","directed"
"101561","439432","directed"
"768178","605538","directed"
"679204","752955","directed"
"260584","96632","directed"
"678955","420520","directed"
"149274","11243","directed"
"232151","716278","directed"
"250385","162952","directed"
"43742","922490","directed"
"922490","126811","directed"
"836419","457610","directed"
"779990","152384","directed"
"308447","515870","directed"
"116468","836419","directed"
"771908","412929","directed"
"709050","75046","directed"
"37688","260584","directed"
"35619","75046","directed"
"942164","239311","directed"
"488269","200826","directed"
"740163","90948","directed"
"842601","172617","directed"
"391933","362250","directed"
"420520","560166","directed"
"12503","46651","directed"
"304090","390067","directed"
"205667","684922","directed"
"255700","933161","directed"
"949803","389100","directed"
"152306","949803","directed"
"881969","624953","directed"
"75046","531208","directed"
"716278","853287","directed"
"617278","722859","directed"
"544104","200826","directed"
"874850","361927","directed"
"172617","567950","directed"
"613715","257016","directed"
"181888","765152","directed"
"574996","349445","directed"
"994130","940769","directed"
"686816","87855","directed"
"652188","362750","directed"
"432106","531208","directed"
"877357","205667","directed"
"238618","560166","directed"
"696922","605538","directed"
"414977","561481","directed"
"961478","183868","directed"
"90948","976245","directed"
"869954","976245","directed"
"560166","299996","directed"
"887316","257016","directed"
"901708","842928","directed"
"371990","515870","directed"
"326017","42818","directed"
"853287","938675","directed"
"768178","249868","directed"
"260584","423645","directed"
"678955","174221","directed"
"149274","232151","directed"
"167455","838513","directed"
"43742","126811","directed"
"779990","286315","directed"
"203200","389100","directed"
"895303","232688","directed"
"531208","35619","directed"
"748784","572043","directed"
"535827","940769","directed"
"42569","602209","directed"
"37688","805051","directed"
"942164","362750","directed"
"488269","764841","directed"
"740163","189596","directed"
"162952","386533","directed"
"299996","764841","directed"
"390067","260584","directed"
"572602","205667","directed"
"152306","508791","directed"
"598170","457610","directed"
"938675","11243","directed"
"389100","508791","directed"
"877738","42818","directed"
"651618","962816","directed"
"833933","390067","directed"
"177868","651618","directed"
"805051","713941","directed"
"686816","930594","directed"
