"Source","Target","Type"
"661346","202380","directed"
"436308","848426","directed"
"953946","507088","directed"
"547231","202380","directed"
"745851","331649","directed"
"992887","745851","directed"
"385058","124016","directed"
"600071","680270","directed"
"229478","433747","directed"
"574421","80580","directed"
"382029","848163","directed"
"922490","680270","directed"
"391522","564972","directed"
"354918","834082","directed"
"481615","166002","directed"
"967300","444965","directed"
"221970","202380","directed"
"846910","972909","directed"
"405789","438804","directed"
"363294","391522","directed"
"89023","414545","directed"
"333119","80580","directed"
"897644","687949","directed"
"687704","687750","directed"
"356738","664628","directed"
"102759","503345","directed"
"570361","399971","directed"
"908535","942333","directed"
"848426","28346","directed"
"513085","881562","directed"
"552352","731264","directed"
"28346","992887","directed"
"511805","377960","directed"
"537546","677187","directed"
"564972","202380","directed"
"592632","566506","directed"
"593437","779189","directed"
"351593","202380","directed"
"586360","637682","directed"
"915053","619067","directed"
"905225","600616","directed"
"444965","978082","directed"
"983911","906426","directed"
"66409","997185","directed"
"522063","593437","directed"
"222890","779189","directed"
"870395","972909","directed"
"331649","745851","directed"
"654967","760218","directed"
"541436","80580","directed"
"598537","80580","directed"
"458402","425409","directed"
"987283","425589","directed"
"92387","967300","directed"
"433747","586360","directed"
"550629","381108","directed"
"456343","737247","directed"
"614804","450962","directed"
"78910","202380","directed"
"881562","745016","directed"
"801081","680270","directed"
"381108","748836","directed"
"845281","334082","directed"
"793531","845281","directed"
"363767","438804","directed"
"969151","448660","directed"
"513827","438804","directed"
"834082","983911","directed"
"438804","942333","directed"
"362115","448660","directed"
"329156","176996","directed"
"536531","405789","directed"
"913588","254178","directed"
"801162","66409","directed"
"942333","908535","directed"
"639538","810357","directed"
"448660","945210","directed"
"558677","945210","directed"
"850171","915053","directed"
"200366","915053","directed"
"593280","438804","directed"
"19948","80580","directed"
"868942","978082","directed"
"334082","170293","directed"
"661346","385058","directed"
"436308","677187","directed"
"848163","513085","directed"
"953946","677187","directed"
"547231","566506","directed"
"385058","202380","directed"
"600071","436308","directed"
"508158","365873","directed"
"382029","436308","directed"
"922490","399971","directed"
"810357","677187","directed"
"677071","444965","directed"
"967300","677071","directed"
"846910","661346","directed"
"935557","405174","directed"
"405789","89660","directed"
"914876","811989","directed"
"990830","391522","directed"
"882540","745016","directed"
"915763","746225","directed"
"417812","602472","directed"
"908535","438804","directed"
"513085","365873","directed"
"552352","779189","directed"
"158595","469871","directed"
"518728","942333","directed"
